date,station_id,station_name,region_name,province_name,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ff_avg,temp_range,rain_3d,rain_7d,rain_change_1d,wind_change_1d,ddd_x_sin,ddd_x_cos,day_of_year_sin,day_of_year_cos,station_96855,missing_RR,missing_ff_x,missing_ff_avg,missing_RH_avg,anomaly_score,status
2018-04-25,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,24.0,31.7,26.9,83.0,0.0,6.0,3.0,1.0,7.699999999999999,1.0,137.39999999999998,-1.0,-1.0,-0.8660254037844386,0.5000000000000001,0.9181214482844364,-0.3962991372689181,0,0,0,0,0,1.9399647,NORMAL
2018-04-26,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,23.0,32.6,27.5,81.0,0.0,7.5,3.0,2.0,9.6,1.0,102.2,0.0,0.0,-1.0,-1.8369701987210294e-16,0.9111686353326632,-0.4120336369594263,0,0,0,0,0,1.9452971,NORMAL
2018-04-27,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,23.0,32.5,27.6,78.0,0.0,7.3,3.0,1.0,9.5,0.0,67.6,0.0,0.0,-0.8660254037844386,0.5000000000000001,0.9039461929224012,-0.4276462092677746,0,0,0,0,0,1.9184667,NORMAL
2018-04-28,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,23.0,31.2,27.2,82.0,0.0,8.9,3.0,1.0,8.2,0.0,16.6,0.0,0.0,1.2246467991473532e-16,-1.0,0.8964562582905575,-0.4431322341826345,0,0,0,0,0,1.9137579,NORMAL
2018-04-29,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,22.0,32.6,26.9,77.0,0.0,7.0,3.0,1.0,10.6,0.0,1.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.8887010478292915,-0.4584871291400876,0,0,0,0,0,1.9092185,NORMAL
2018-04-30,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,21.0,32.6,26.5,74.0,0.0,10.4,3.0,2.0,11.6,0.0,1.0,0.0,0.0,0.1736481776669302,-0.984807753012208,0.8806828564301475,-0.47370635037968,0,0,0,0,0,1.9181796,NORMAL
2018-05-01,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,21.0,31.8,26.3,76.0,0.0,10.3,3.0,1.0,10.8,0.0,0.0,0.0,0.0,-0.9396926207859084,-0.3420201433256685,0.8724040568049612,-0.4887853942889926,0,0,0,0,0,1.9227121,NORMAL
2018-05-02,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,22.0,31.7,26.8,74.0,0.0,7.8,2.0,1.0,9.7,0.0,0.0,0.0,-1.0,-0.3420201433256686,-0.9396926207859084,0.8638670987837349,-0.503719798736334,0,0,0,0,0,1.940083,NORMAL
2018-05-03,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,22.0,31.5,26.3,77.0,0.0,10.5,4.0,2.0,9.5,0.0,0.0,0.0,2.0,-1.0,-1.8369701987210294e-16,0.8550745085896932,-0.518505144391157,0,0,0,0,0,1.6152897,NORMAL
2018-05-04,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,22.0,33.2,26.3,75.0,0.0,10.6,3.0,1.0,11.200000000000005,0.0,0.0,0.0,-1.0,0.984807753012208,-0.1736481776669303,0.8460288880917339,-0.533137056031809,0,0,0,0,0,1.3783767,NORMAL
2018-05-05,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,21.0,33.2,26.9,73.0,0.0,10.7,4.0,2.0,12.200000000000005,0.0,0.0,0.0,1.0,1.0,6.123233995736766e-17,0.8367329140344921,-0.5476112038402312,0,0,0,0,0,1.4014835,NORMAL
2018-05-06,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,22.0,32.8,27.5,74.0,0.0,10.6,6.0,3.0,10.799999999999995,0.0,0.0,0.0,2.0,0.4999999999999999,0.8660254037844387,0.8271893372462497,-0.5619233046832195,0,0,0,0,0,1.4569138,NORMAL
2018-05-07,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,22.0,33.9,27.4,77.0,0.0,10.4,3.0,2.0,11.9,0.0,0.0,0.0,-3.0,-1.0,-1.8369701987210294e-16,0.8174009818249189,-0.5760691233798758,0,0,0,0,0,1.3438196,NORMAL
