date,station_id,station_name,region_name,province_name,RR,rain_3d,rain_7d,ff_x,ff_avg,experiment_id,sequence_length,feature_group,anomaly_score,status,alert_type,triggers,threshold_p95,threshold_p99,threshold_p995
2020-12-17,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,0.3,0.5000000000000284,342.4,4.0,2.0,all_7d,7,all_features,52.684788,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,2.985289299488066,8.157676396369942,10.916516861915584
2020-12-16,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,0.0,230.7,358.0666666666666,5.0,3.0,all_7d,7,all_features,48.585556,AWAS,CURAH_HUJAN_EKSTREM_DAN_ANGIN_KENCANG,Anomaly score above AWAS threshold; Rainfall above local percentile threshold; Wind above local percentile threshold,2.985289299488066,8.157676396369942,10.916516861915584
2020-12-15,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,0.2,233.2,369.8,4.0,2.0,all_7d,7,all_features,48.110134,AWAS,CURAH_HUJAN_EKSTREM_DAN_ANGIN_KENCANG,Anomaly score above AWAS threshold; Rainfall above local percentile threshold; Wind above local percentile threshold,2.985289299488066,8.157676396369942,10.916516861915584
2020-12-20,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,5.6,67.40000000000003,298.3999999999999,6.0,3.0,all_7d,7,all_features,42.659916,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,2.985289299488066,8.157676396369942,10.916516861915584
2020-12-14,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,230.5,321.70000000000005,377.1,5.0,2.0,all_7d,7,all_features,30.969803,AWAS,CURAH_HUJAN_EKSTREM_DAN_ANGIN_KENCANG,Anomaly score above AWAS threshold; Rainfall above local percentile threshold; Wind above local percentile threshold,2.985289299488066,8.157676396369942,10.916516861915584
2020-12-21,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,0.0,16.800000000000026,67.89999999999995,6.0,3.0,all_7d,7,all_features,29.685696,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,2.985289299488066,8.157676396369942,10.916516861915584
2019-03-25,96855,Stasiun Geofisika Sleman,Kab. Sleman,DI Yogyakarta,18.4,131.90000000000006,166.7,2.0,1.0,all_7d,7,all_features,23.191282,AWAS,CURAH_HUJAN_EKSTREM,Anomaly score above AWAS threshold; Rainfall above local percentile threshold,2.985289299488066,8.157676396369942,10.916516861915584
2020-03-07,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,1.0,93.1,266.2,6.0,2.0,all_7d,7,all_features,17.076084,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,2.985289299488066,8.157676396369942,10.916516861915584
2020-03-06,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,2.3,131.70000000000002,265.2,3.0,2.0,all_7d,7,all_features,16.746756,AWAS,CURAH_HUJAN_EKSTREM,Anomaly score above AWAS threshold; Rainfall above local percentile threshold,2.985289299488066,8.157676396369942,10.916516861915584
2020-04-07,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,3.8,86.10000000000004,190.9,4.0,2.0,all_7d,7,all_features,16.686989,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,2.985289299488066,8.157676396369942,10.916516861915584
2020-02-27,96855,Stasiun Geofisika Sleman,Kab. Sleman,DI Yogyakarta,5.0,77.30000000000005,235.25,2.0,1.0,all_7d,7,all_features,16.367992,AWAS,ANOMALI_CUACA,Anomaly score above AWAS threshold,2.985289299488066,8.157676396369942,10.916516861915584
2020-02-26,96855,Stasiun Geofisika Sleman,Kab. Sleman,DI Yogyakarta,14.1,72.30000000000005,264.95,2.0,1.0,all_7d,7,all_features,15.658322,AWAS,ANOMALI_CUACA,Anomaly score above AWAS threshold,2.985289299488066,8.157676396369942,10.916516861915584
2020-12-20,96855,Stasiun Geofisika Sleman,Kab. Sleman,DI Yogyakarta,2.8,87.40000000000006,129.2,3.0,2.0,all_7d,7,all_features,14.574501,AWAS,ANOMALI_CUACA,Anomaly score above AWAS threshold,2.985289299488066,8.157676396369942,10.916516861915584
2020-12-22,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,0.0,5.600000000000028,67.69999999999995,6.0,3.0,rain_30d,30,rain_only,61.71521,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,17.52765502929687,41.371433677673366,43.24736728668207
2020-12-23,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,0.0,0.0,67.69999999999995,5.0,2.0,rain_30d,30,rain_only,58.97647,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,17.52765502929687,41.371433677673366,43.24736728668207
2020-12-24,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,0.0,0.0,67.39999999999995,5.0,2.0,rain_30d,30,rain_only,53.340866,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,17.52765502929687,41.371433677673366,43.24736728668207
2020-12-25,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,0.0,0.0,16.79999999999994,5.0,2.0,rain_30d,30,rain_only,50.56455,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,17.52765502929687,41.371433677673366,43.24736728668207
2020-12-26,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,7.6,7.600000000000028,13.199999999999942,3.0,1.0,rain_30d,30,rain_only,49.469284,AWAS,ANOMALI_CUACA,Anomaly score above AWAS threshold,17.52765502929687,41.371433677673366,43.24736728668207
2020-12-31,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,44.1,59.20000000000003,90.09999999999994,5.0,2.0,rain_30d,30,rain_only,49.43452,AWAS,CURAH_HUJAN_EKSTREM_DAN_ANGIN_KENCANG,Anomaly score above AWAS threshold; Rainfall above local percentile threshold; Wind above local percentile threshold,17.52765502929687,41.371433677673366,43.24736728668207
